date,price
2001-01-01,7.13683870967742
2001-02-01,7.271096774193548
2001-03-01,7.443806451612903
2001-04-01,7.544064516129032
2001-05-01,7.675193548387097
2001-06-01,7.952870967741935
2001-07-01,8.08706451612903
2001-08-01,7.995354838709678
2001-09-01,7.802741935483871
2001-10-01,7.738290322580645
2001-11-01,7.417741935483871
2001-12-01,7.390774193548387
2002-01-01,7.154354838709677
2002-02-01,7.24483870967742
2002-03-01,7.222870967741936
2002-04-01,7.338741935483871
2002-05-01,7.514322580645161
2002-06-01,7.76416129032258
2002-07-01,7.783612903225807
2002-08-01,7.736225806451613
2002-09-01,7.619
2002-10-01,7.494870967741935
2002-11-01,7.286258064516129
2002-12-01,7.306967741935483
2003-01-01,6.196451612903226
2003-02-01,6.30683870967742
2003-03-01,6.407870967741935
2003-04-01,6.517483870967742
2003-05-01,6.652774193548388
2003-06-01,6.851161290322581
2003-07-01,6.916903225806451
2003-08-01,6.92025806451613
2003-09-01,6.739483870967741
2003-10-01,6.589806451612903
2003-11-01,6.403838709677419
2003-12-01,6.333709677419355
2004-01-01,6.456096774193549
2004-02-01,6.650935483870968
2004-03-01,6.650064516129032
2004-04-01,6.767967741935484
2004-05-01,6.895709677419355
2004-06-01,7.180032258064516
2004-07-01,7.297064516129033
2004-08-01,7.291548387096775
2004-09-01,7.150870967741936
2004-10-01,6.922483870967741
2004-11-01,6.80316129032258
2004-12-01,6.760096774193549
2005-01-01,6.895387096774194
2005-02-01,7.010516129032259
2005-03-01,7.031354838709677
2005-04-01,7.14558064516129
2005-05-01,7.385483870967742
2005-06-01,7.94283870967742
2005-07-01,7.766838709677419
2005-08-01,7.834032258064517
2005-09-01,7.869451612903227
2005-10-01,7.896806451612902
2005-11-01,7.975741935483871
2005-12-01,7.998419354838709
2006-01-01,7.887451612903226
2006-02-01,7.951741935483871
2006-03-01,7.918645161290323
2006-04-01,8.04509677419355
2006-05-01,8.171645161290323
2006-06-01,8.589032258064515
2006-07-01,8.680774193548388
2006-08-01,8.704709677419356
2006-09-01,8.588032258064516
2006-10-01,8.359
2006-11-01,8.099645161290322
2006-12-01,8.041645161290322
2007-01-01,8.095516129032259
2007-02-01,8.157096774193548
2007-03-01,8.303709677419356
2007-04-01,8.313354838709676
2007-05-01,8.422483870967742
2007-06-01,8.721225806451613
2007-07-01,8.886677419354838
2007-08-01,8.878516129032258
2007-09-01,8.65183870967742
2007-10-01,8.679935483870969
2007-11-01,8.428806451612903
2007-12-01,8.431645161290323
2008-01-01,8.505645161290323
2008-02-01,8.533838709677418
2008-03-01,8.688677419354837
2008-04-01,8.864064516129032
2008-05-01,9.206000000000001
2008-06-01,9.65658064516129
2008-07-01,9.93458064516129
2008-08-01,9.933774193548386
2008-09-01,9.967193548387096
2008-10-01,9.54016129032258
2008-11-01,9.254709677419354
2008-12-01,9.015709677419354
2009-01-01,8.995064516129032
2009-02-01,9.051806451612903
2009-03-01,8.956096774193547
2009-04-01,8.936064516129031
2009-05-01,9.095354838709678
2009-06-01,9.31251612903226
2009-07-01,9.380516129032259
2009-08-01,9.394516129032258
2009-09-01,9.294645161290322
2009-10-01,9.11083870967742
2009-11-01,8.895064516129032
2009-12-01,8.821387096774194
2010-01-01,8.790935483870967
2010-02-01,8.995516129032259
2010-03-01,8.99583870967742
2010-04-01,9.11916129032258
2010-05-01,9.291322580645161
2010-06-01,9.555451612903227
2010-07-01,9.657387096774194
2010-08-01,9.660806451612903
2010-09-01,9.509870967741936
2010-10-01,9.299129032258065
2010-11-01,9.108322580645162
2010-12-01,9.003096774193548
2011-01-01,9.031483870967742
2011-02-01,9.139870967741937
2011-03-01,9.179064516129033
2011-04-01,9.224387096774194
2011-05-01,9.454322580645162
2011-06-01,9.820290322580645
2011-07-01,9.883612903225806
2011-08-01,9.897580645161291
2011-09-01,9.785483870967742
2011-10-01,9.501999999999999
2011-11-01,9.272387096774194
2011-12-01,9.187290322580646
2012-01-01,9.145354838709677
2012-02-01,9.18183870967742
2012-03-01,9.24825806451613
2012-04-01,9.230387096774194
2012-05-01,9.42858064516129
2012-06-01,9.75406451612903
2012-07-01,9.8
2012-08-01,9.733161290322581
2012-09-01,9.708741935483872
2012-10-01,9.443677419354838
2012-11-01,9.299290322580646
2012-12-01,9.28774193548387
2013-01-01,9.311870967741935
2013-02-01,9.479516129032259
2013-03-01,9.520032258064516
2013-04-01,9.492161290322581
2013-05-01,9.729903225806451
2013-06-01,10.042645161290322
2013-07-01,10.08532258064516
2013-08-01,10.058741935483871
2013-09-01,9.949709677419355
2013-10-01,9.726903225806453
2013-11-01,9.594483870967743
2013-12-01,9.604354838709677
2014-01-01,9.727967741935483
2014-02-01,9.919419354838709
2014-03-01,9.886967741935484
2014-04-01,9.770129032258064
2014-05-01,9.916387096774192
2014-06-01,10.24409677419355
2014-07-01,10.306258064516129
2014-08-01,10.214806451612903
2014-09-01,10.210709677419356
2014-10-01,9.915129032258065
2014-11-01,9.743193548387096
2014-12-01,9.679806451612905
2015-01-01,9.74058064516129
2015-02-01,9.914225806451613
2015-03-01,9.882516129032258
2015-04-01,9.773290322580644
2015-05-01,9.89525806451613
2015-06-01,10.124258064516129
2015-07-01,10.227612903225806
2015-08-01,10.175096774193548
2015-09-01,10.072387096774193
2015-10-01,9.798387096774194
2015-11-01,9.63016129032258
2015-12-01,9.480258064516129
2016-01-01,9.436258064516128
2016-02-01,9.520645161290323
2016-03-01,9.594225806451613
2016-04-01,9.583548387096775
2016-05-01,9.721419354838709
2016-06-01,10.008193548387096
2016-07-01,10.029806451612902
